238	Ratio H/L unmod. pep. HeLa_CX_1h_R5
239	Ratio H/L localized HeLa_CX_1h_R5
240	Ratio H/L nmods HeLa_CX_1h_R5
241	Ratio H/L variability [%] HeLa_CX_1h_R5
242	Ratio H/L count HeLa_CX_1h_R5
243	Ratio H/L iso-count HeLa_CX_1h_R5
244	Ratio H/L type HeLa_CX_1h_R5
245	Occupancy L HeLa_CX_1h_R5
246	Occupancy H HeLa_CX_1h_R5
247	Ratio H/L HeLa_CX_1h_R6
248	Ratio H/L HeLa_CX_1h_R6___1
249	Ratio H/L HeLa_CX_1h_R6___2
250	Ratio H/L HeLa_CX_1h_R6___3
251	Ratio H/L normalized HeLa_CX_1h_R6
252	Ratio H/L normalized HeLa_CX_1h_R6___1
253	Ratio H/L normalized HeLa_CX_1h_R6___2
254	Ratio H/L normalized HeLa_CX_1h_R6___3
255	Ratio H/L unmod. pep. HeLa_CX_1h_R6
256	Ratio H/L localized HeLa_CX_1h_R6
257	Ratio H/L nmods HeLa_CX_1h_R6
258	Ratio H/L variability [%] HeLa_CX_1h_R6
259	Ratio H/L count HeLa_CX_1h_R6
260	Ratio H/L iso-count HeLa_CX_1h_R6
261	Ratio H/L type HeLa_CX_1h_R6
262	Occupancy L HeLa_CX_1h_R6
263	Occupancy H HeLa_CX_1h_R6
264	Ratio H/L HeLa_CX_2h_R1
265	Ratio H/L HeLa_CX_2h_R1___1
266	Ratio H/L HeLa_CX_2h_R1___2
267	Ratio H/L HeLa_CX_2h_R1___3
268	Ratio H/L normalized HeLa_CX_2h_R1
269	Ratio H/L normalized HeLa_CX_2h_R1___1
270	Ratio H/L normalized HeLa_CX_2h_R1___2
271	Ratio H/L normalized HeLa_CX_2h_R1___3
272	Ratio H/L unmod. pep. HeLa_CX_2h_R1
273	Ratio H/L localized HeLa_CX_2h_R1
274	Ratio H/L nmods HeLa_CX_2h_R1
275	Ratio H/L variability [%] HeLa_CX_2h_R1
276	Ratio H/L count HeLa_CX_2h_R1
277	Ratio H/L iso-count HeLa_CX_2h_R1
278	Ratio H/L type HeLa_CX_2h_R1
279	Occupancy L HeLa_CX_2h_R1
280	Occupancy H HeLa_CX_2h_R1
281	Ratio H/L HeLa_CX_2h_R2
282	Ratio H/L HeLa_CX_2h_R2___1
283	Ratio H/L HeLa_CX_2h_R2___2
284	Ratio H/L HeLa_CX_2h_R2___3
285	Ratio H/L normalized HeLa_CX_2h_R2
286	Ratio H/L normalized HeLa_CX_2h_R2___1
287	Ratio H/L normalized HeLa_CX_2h_R2___2
288	Ratio H/L normalized HeLa_CX_2h_R2___3
289	Ratio H/L unmod. pep. HeLa_CX_2h_R2
290	Ratio H/L localized HeLa_CX_2h_R2
291	Ratio H/L nmods HeLa_CX_2h_R2
292	Ratio H/L variability [%] HeLa_CX_2h_R2
293	Ratio H/L count HeLa_CX_2h_R2
294	Ratio H/L iso-count HeLa_CX_2h_R2
295	Ratio H/L type HeLa_CX_2h_R2
296	Occupancy L HeLa_CX_2h_R2
297	Occupancy H HeLa_CX_2h_R2
298	Ratio H/L HeLa_CX_2h_R3
299	Ratio H/L HeLa_CX_2h_R3___1
300	Ratio H/L HeLa_CX_2h_R3___2
301	Ratio H/L HeLa_CX_2h_R3___3
302	Ratio H/L normalized HeLa_CX_2h_R3
303	Ratio H/L normalized HeLa_CX_2h_R3___1
304	Ratio H/L normalized HeLa_CX_2h_R3___2
305	Ratio H/L normalized HeLa_CX_2h_R3___3
306	Ratio H/L unmod. pep. HeLa_CX_2h_R3
307	Ratio H/L localized HeLa_CX_2h_R3
308	Ratio H/L nmods HeLa_CX_2h_R3
309	Ratio H/L variability [%] HeLa_CX_2h_R3
310	Ratio H/L count HeLa_CX_2h_R3
311	Ratio H/L iso-count HeLa_CX_2h_R3
312	Ratio H/L type HeLa_CX_2h_R3
313	Occupancy L HeLa_CX_2h_R3
314	Occupancy H HeLa_CX_2h_R3
315	Ratio H/L HeLa_CX_2h_R4
316	Ratio H/L HeLa_CX_2h_R4___1
317	Ratio H/L HeLa_CX_2h_R4___2
318	Ratio H/L HeLa_CX_2h_R4___3
319	Ratio H/L normalized HeLa_CX_2h_R4
320	Ratio H/L normalized HeLa_CX_2h_R4___1
321	Ratio H/L normalized HeLa_CX_2h_R4___2
322	Ratio H/L normalized HeLa_CX_2h_R4___3
323	Ratio H/L unmod. pep. HeLa_CX_2h_R4
324	Ratio H/L localized HeLa_CX_2h_R4
325	Ratio H/L nmods HeLa_CX_2h_R4
326	Ratio H/L variability [%] HeLa_CX_2h_R4
327	Ratio H/L count HeLa_CX_2h_R4
328	Ratio H/L iso-count HeLa_CX_2h_R4
329	Ratio H/L type HeLa_CX_2h_R4
330	Occupancy L HeLa_CX_2h_R4
331	Occupancy H HeLa_CX_2h_R4
332	Ratio H/L HeLa_CX_2h_R5
333	Ratio H/L HeLa_CX_2h_R5___1
334	Ratio H/L HeLa_CX_2h_R5___2
335	Ratio H/L HeLa_CX_2h_R5___3
336	Ratio H/L normalized HeLa_CX_2h_R5
337	Ratio H/L normalized HeLa_CX_2h_R5___1
338	Ratio H/L normalized HeLa_CX_2h_R5___2
339	Ratio H/L normalized HeLa_CX_2h_R5___3
340	Ratio H/L unmod. pep. HeLa_CX_2h_R5
341	Ratio H/L localized HeLa_CX_2h_R5
342	Ratio H/L nmods HeLa_CX_2h_R5
343	Ratio H/L variability [%] HeLa_CX_2h_R5
344	Ratio H/L count HeLa_CX_2h_R5
345	Ratio H/L iso-count HeLa_CX_2h_R5
